X1,Y,YC,X2_1,X2_2,X2_3,X2_4,X2_5,X2_6,MU0,MU1,S1,GT
1,250.0,1,4,35,1,2,5,13,150.0,350.0,1,200.0
1,350.0,1,4,37,1,2,5,3,250.0,450.0,1,200.0
1,365.0,1,4,51,1,2,5,16,265.0,465.0,1,200.0
0,100.0,0,3,47,2,2,2,3,0.0,200.0,1,200.0
0,55.0,0,12,20,2,1,3,3,-45.0,155.0,1,200.0
0,480.0,1,8,48,1,2,3,3,380.0,580.0,1,200.0
1,220.0,1,1,42,1,2,5,14,120.0,320.0,1,200.0
0,240.0,1,8,54,1,2,2,2,140.0,340.0,1,200.0
1,120.0,0,9,27,2,1,4,7,20.0,220.0,1,200.0
1,700.0,1,15,47,1,2,5,15,600.0,800.0,1,200.0
1,130.0,0,8,41,1,2,5,16,30.0,230.0,1,200.0
0,228.0,1,4,29,2,2,3,7,128.0,328.0,1,200.0
0,48.0,0,5,62,2,2,3,15,-52.0,148.0,1,200.0
1,320.0,1,1,34,1,1,5,3,220.0,420.0,1,200.0
0,240.0,1,15,50,1,1,3,8,140.0,340.0,1,200.0
1,250.0,1,8,52,1,2,4,6,150.0,350.0,1,200.0
0,200.0,0,1,46,1,2,3,6,100.0,300.0,1,200.0
0,180.0,0,1,50,2,2,3,20,80.0,280.0,1,200.0
0,120.0,0,2,49,1,2,2,6,20.0,220.0,1,200.0
0,230.0,1,8,25,1,1,3,13,130.0,330.0,1,200.0
0,145.0,0,8,42,1,2,3,3,45.0,245.0,1,200.0
0,200.0,0,3,49,1,2,3,7,100.0,300.0,1,200.0
1,400.0,1,4,61,1,2,5,16,300.0,500.0,1,200.0
1,400.0,1,12,53,2,2,4,11,300.0,500.0,1,200.0
0,120.0,0,8,47,2,2,3,7,20.0,220.0,1,200.0
0,350.0,1,14,39,1,2,3,19,250.0,450.0,1,200.0
1,298.0,1,5,32,1,2,5,11,198.0,398.0,1,200.0
0,400.0,1,7,50,1,2,3,3,300.0,500.0,1,200.0
0,280.0,1,8,63,1,3,3,12,180.0,380.0,1,200.0
0,100.0,0,14,48,2,3,2,9,0.0,200.0,1,200.0
0,300.0,1,15,39,2,2,3,13,200.0,400.0,1,200.0
1,520.0,1,8,33,1,1,5,10,420.0,620.0,1,200.0
0,320.0,1,15,50,1,2,3,15,220.0,420.0,1,200.0
1,300.0,1,5,32,1,2,4,15,200.0,400.0,1,200.0
0,180.0,0,8,54,1,1,3,7,80.0,280.0,1,200.0
0,100.0,0,16,61,2,2,2,7,0.0,200.0,1,200.0
1,200.0,0,8,30,1,1,4,14,100.0,300.0,1,200.0
0,130.0,0,8,37,1,2,3,3,30.0,230.0,1,200.0
1,27.0,0,8,19,2,1,5,8,-73.0,127.0,1,200.0
0,120.0,0,8,51,2,3,2,3,20.0,220.0,1,200.0
1,450.0,1,14,32,1,2,5,3,350.0,550.0,1,200.0
1,475.0,1,8,50,1,2,5,16,375.0,575.0,1,200.0
1,545.0,1,3,57,1,2,5,16,445.0,645.0,1,200.0
0,100.0,0,13,60,1,2,2,7,0.0,200.0,1,200.0
1,300.0,1,2,59,1,2,4,8,200.0,400.0,1,200.0
1,350.0,1,15,39,1,2,5,4,250.0,450.0,1,200.0
0,27.0,0,4,68,1,2,2,14,-73.0,127.0,1,200.0
1,700.0,1,8,41,2,2,5,3,600.0,800.0,1,200.0
0,250.0,1,1,48,1,2,3,11,150.0,350.0,1,200.0
1,500.0,1,1,36,1,1,5,9,400.0,600.0,1,200.0
1,495.0,1,1,47,1,2,5,16,395.0,595.0,1,200.0
1,110.0,0,12,59,1,2,5,11,10.0,210.0,1,200.0
0,200.0,0,8,72,1,3,3,12,100.0,300.0,1,200.0
0,160.0,0,1,41,1,3,3,6,60.0,260.0,1,200.0
0,120.0,0,15,39,2,2,3,17,20.0,220.0,1,200.0
1,270.0,1,8,37,1,1,4,3,170.0,370.0,1,200.0
0,100.0,0,1,65,1,2,2,7,0.0,200.0,1,200.0
1,200.0,0,1,35,1,1,4,13,100.0,300.0,1,200.0
1,446.0,1,15,46,1,2,5,15,346.0,546.0,1,200.0
0,110.0,0,13,21,1,1,3,14,10.0,210.0,1,200.0
1,270.0,1,7,36,1,1,4,3,170.0,370.0,1,200.0
0,220.0,1,1,50,1,2,3,14,120.0,320.0,1,200.0
0,120.0,0,1,43,2,2,3,19,20.0,220.0,1,200.0
1,255.0,1,3,30,2,1,4,18,155.0,355.0,1,200.0
0,50.0,0,1,49,2,2,3,7,-50.0,150.0,1,200.0
0,650.0,1,9,29,1,2,3,14,550.0,750.0,1,200.0
0,120.0,0,5,63,2,3,3,17,20.0,220.0,1,200.0
0,200.0,0,8,37,1,2,3,7,100.0,300.0,1,200.0
1,800.0,1,2,37,1,2,5,10,700.0,900.0,1,200.0
1,370.0,1,1,31,1,1,5,7,270.0,470.0,1,200.0
0,500.0,1,11,36,1,1,3,3,400.0,600.0,1,200.0
