pid,year,p_region,p_age,p_sex,p_married,p_edu,Ind
16104,2003.9668,0.78909075,9.951322,0.24073887,0.40127414,0.8859605,2.0547874
16105,2003.9668,0.78909564,9.95132,0.24073482,0.40127605,0.8859598,2.0547884
16301,2008.1213,2.133476,20.190792,0.44084248,0.844537,1.6598759,4.098219
16303,2003.9668,0.789096,9.95132,0.24074024,0.40128297,0.8859592,2.0547922
16304,2003.9668,0.7890929,9.951303,0.24074084,0.4012738,0.8859612,2.0547836
16401,2008.1213,2.1334767,20.19078,0.4408334,0.8445276,1.6598678,4.09822
16402,2003.9668,0.7890916,9.95131,0.2407397,0.4012764,0.88596165,2.0547864
16403,2016.4728,4.59113,42.263615,0.8251126,1.7836291,3.300465,7.9837933
16404,2003.9668,0.78909945,9.951336,0.24074405,0.4012869,0.8859625,2.0547984
16502,2008.1213,2.133478,20.19083,0.44083712,0.84450245,1.6598845,4.098221
16504,2008.1213,2.1334612,20.19074,0.44083127,0.8445082,1.6598723,4.098205
16603,2008.1213,2.1334708,20.1908,0.4408487,0.8445399,1.6598787,4.0982156
16604,2003.9668,0.7890879,9.951296,0.24073881,0.40126717,0.8859606,2.0547822
16703,2003.9668,0.7890948,9.951356,0.24074432,0.4012816,0.8859692,2.0548031
16801,2008.1213,2.1334686,20.190773,0.4408319,0.84452105,1.6598763,4.0982194
16803,2003.9668,0.78910077,9.951314,0.24074107,0.40127772,0.8859592,2.0547903
16804,2003.9668,0.78910005,9.951322,0.24073681,0.4012795,0.88596076,2.0547924
16805,2003.9668,0.7890923,9.951304,0.24074093,0.40127248,0.8859626,2.0547829
17002,2016.4728,4.5911207,42.26362,0.825115,1.7836462,3.300467,7.983807
17004,2003.9668,0.7890886,9.951297,0.24073881,0.40127236,0.88595986,2.054782
17102,2003.9668,0.789098,9.951317,0.24074042,0.4012841,0.8859591,2.054792
17201,2016.4728,4.5911207,42.26362,0.8251107,1.7836405,3.300459,7.983794
17202,2003.9668,0.78909683,9.951315,0.24074125,0.4012822,0.885964,2.0547907
17204,2003.9668,0.7890936,9.951304,0.24073884,0.4012723,0.8859633,2.0547838
17302,2012.297,3.3622696,31.227169,0.6329027,1.3140408,2.4801621,6.0409718
17303,2008.1213,2.133473,20.190779,0.44083488,0.84452736,1.6598685,4.0982194
17304,2003.9668,0.7890942,9.951321,0.24073431,0.40127426,0.88595897,2.0547888
17402,2016.4728,4.591129,42.26361,0.8251198,1.78365,3.300466,7.9838023
17403,2008.1213,2.1334682,20.190792,0.44084015,0.8445368,1.6598759,4.098212
17501,2003.9668,0.7890985,9.951316,0.24074247,0.4012826,0.88596016,2.0547926
17502,2008.1213,2.133473,20.19079,0.44083554,0.84452283,1.6598749,4.0982203
17503,2003.9668,0.7891017,9.951334,0.24074754,0.40128636,0.8859657,2.054798
17504,2003.9668,0.78909993,9.951329,0.24074653,0.40128714,0.88596493,2.0548022
